question,answer,reference,label,judgement
Xi Jinping met with Joe Biden in which city during the Chinese leader's first visit to the US in six years?,Xi Jinping met with Joe Biden in Honolulu during the Chinese leader's first visit to the US in six years.,San Francisco,-1,Fail.
Where did the UK’s first womb transplant take place?,The UK's first womb transplant took place at the Oxford Transplant Centre.,Oxford,1,Pass.
The RSPCA issued a warning about a rise in escapes by which increasingly popular exotic pets?,The RSPCA issued a warning about a rise in escapes by increasingly popular exotic pets such as snakes.,Snakes,1,Pass.
Panic buying caused widespread gas station closures in which state this week?,Florida,Florida,1,Pass.
"According to UN-backed scientists, Earth’s ozone layer is on track to fully recover from human-made damage by when?","Earth's ozone layer is on track to fully recover from human-made damage by 2066 over Antarctica, by 2045 over the Arctic, and by 2040 over the rest of the world, according to UN-backed scientists.",2066,1,Pass.
The Americans for Prosperity Action group is backing which Republican presidential candidate?,"The Americans for Prosperity Action group is backing Haley, a Republican presidential candidate.",Nikki Haley,1,Pass.
Which country experienced a nationwide power outage this week?,"Pakistan experienced a nationwide power outage this week, leaving nearly 220 million people without power.",Pakistan,1,Pass.
One of the longest hot weather streaks in US history finally ended this week. Which city saw temperatures over 110 degrees for 31 consecutive days?,Phoenix saw temperatures over 110 degrees for 31 consecutive days.,Phoenix,1,Pass.
Classified documents were recently found at the home of which high-profile Republican?,Former Vice President Mike Pence,Former Vice President Mike Pence,1,Pass.
In which city did Vladimir Putin confirm that he will run for re-election next year?,"Vladimir Putin confirmed that he will run for re-election next year in Moscow, during a military awards ceremony at the Kremlin.",Moscow,1,Pass.
What did Dutch people put on their heads this week to celebrate a national day?,Dutch people put pancakes on their heads to celebrate Sint Pannekoek (Saint Pancake) on 29 November.,Pancakes,1,Pass.
Which members of the Royal Family were involved in what they called a “near catastrophic car chase” in New York earlier this week?,"The Duke and Duchess of Sussex were involved in the ""near catastrophic car chase"" in New York earlier this week.","Prince Harry and Meghan, Duchess of Sussex",1,Pass.
Communities across the US are being upended nearly every day due to gun violence. Which state was recently affected by two major back-to-back mass shootings this week?,California was recently affected by two major back-to-back mass shootings this week in Monterey Park and Half Moon Bay.,California,1,Pass.
Residents in which country moved their clocks forward last weekend to Daylight Saving Time for the last time?,Residents in Greenland moved their clocks forward last weekend to Daylight Saving Time for the last time.,Greenland,1,Pass.
"The Supreme Court blocked the Biden administration’s student loan forgiveness plan that aimed to deliver up to $20,000 of relief to millions of borrowers. How many Supreme Court justices ruled against the program?",Six Supreme Court justices ruled against the Biden administration's student loan forgiveness plan.,6,1,Pass.
Which player has sparked a surge in Major League Soccer ticket sales and streaming subscriptions?,Leo Messi's arrival in America has sparked a surge in Major League Soccer ticket sales and streaming subscriptions.,Leo Messi,1,Pass.
What two Union border states continued to practice slavery up until the 13th Amendment was ratified?,Delaware and Kentucky were the two Union border states that continued to practice slavery up until the 13th Amendment was ratified.,Delaware and Kentucky,1,Pass.
The FBI this week said people should avoid using which public technology?,The FBI this week said people should avoid using public phone charging stations.,Phone charging stations,1,Pass.
Which team was dramatically knocked out of the Women’s World Cup during a penalty shootout against Sweden?,The US Women's National Team was dramatically knocked out of the Women's World Cup during a penalty shootout against Sweden.,USA,1,Pass.
NFL player Damar Hamlin suffered an on-field medical emergency this week. He is a valued member of which team?,Damar Hamlin is a valued member of the Buffalo Bills team.,Buffalo Bills,1,Pass.
Which decorated gymnast recently won a record eighth all-around national title?,"Simone Biles recently won a record eighth all-around national title, breaking the previous record held by Alfred Jochim from 90 years ago.",Simone Biles,1,Pass.
Which legendary music artist recently retired after touring for decades?,Elton John recently retired after touring for decades.,Elton John,1,Pass.
"Which Satellite TV provider was hit with a $150,000 fine for failing to properly dispose of one of its satellites in space?","Dish Network was the Satellite TV provider hit with a $150,000 fine for failing to properly dispose of one of its satellites in space.",Dish Network,1,Pass.
Tory party chair Nadhim Zahawi has admitted settling a tax dispute with HMRC while he was serving as Chancellor under which prime minister?,Nadhim Zahawi settled a tax dispute with HMRC while serving as Chancellor under Prime Minister Boris Johnson.,Boris Johnson,1,Pass.
Which type of bright celestial display will be visible in parts of the Northern Hemisphere this weekend?,"The Perseid meteor shower, one of nature's most stunning light displays, will be visible in parts of the Northern Hemisphere this weekend.",Meteor shower,1,Pass.
Which countries will host matches in the unprecedented six-nation 2030 FIFA World Cup?,"Morocco, Portugal, Spain, Uruguay, Argentina, and Paraguay will host matches in the unprecedented six-nation 2030 FIFA World Cup.","Morocco, Portugal, Spain, Uruguay, Argentina and Paraguay",1,Pass.
Which product in the US recently climbed to its highest price of the year?,"Gasoline in the US recently climbed to its highest price of the year, reaching $3.88 a gallon according to AAA.",Gasoline,1,Pass.
Workers brought which major city to a standstill this week following a second mass strike over pension reforms?,Paris,Paris,1,Pass.
Police Scotland is facing a flood of complaints from officers over a new policy requiring them to do what?,The new policy requires police officers to be clean-shaven in order to wear protective FFP3 masks.,Shave off beards and moustaches,1,Pass.
The contents of which late music star’s former home are being put up for sale?,The contents of Freddie Mercury's former home are being put up for sale.,Freddie Mercury,1,Pass.
"What is the average cost of attending a hen or stag party in the UK, according to a survey for Aviva?","According to the survey for Aviva, the average cost of attending a hen or stag party in the UK is £652 for women and £920 for men.",£779,-1,Fail.
What is the name of the storm that has battered Britain this week?,The storm that has battered Britain this week is named Storm Ciaran.,Storm Ciarán,1,Pass.
Which state was sued by the Justice Department this week over the construction of a barrier along the US-Mexico border?,Texas was sued by the Justice Department this week over the construction of floating barriers along the US-Mexico border in the Rio Grande.,Texas,1,Pass.
"President Joe Biden announced his bid for a second term this week, though polls consistently reflect concern about his age. How old is Biden?",Biden is 80 years old.,80,1,Pass.
"Which automaker recalled around 125,000 SUVs and trucks this week?","Ford recalled around 125,000 SUVs and trucks this week.",Ford,1,Pass.
Which US institution this week released its first-ever code of conduct?,The US Supreme Court released its first-ever code of conduct this week.,Supreme Court,1,Pass.
Which animal is facing extinction in Wales due to a deadly virus?,Red squirrels are facing extinction in Wales due to a deadly virus.,Red squirrels,1,Pass.
Which type of product was recently distributed to some US stores despite a recall notice?,Gerber baby formula was recently distributed to some US stores despite a recall notice due to possible contamination.,Baby formula,1,Pass.
"While historical accounts of what was eaten at the first Thanksgiving vary, which food was definitely not on the menu?","Potatoes were definitely not on the menu at the first Thanksgiving, as they had not yet been introduced to New England during that time period.",Potatoes,1,Pass.
Which city was monitoring its drinking water system this week following a chemical spill upstream in the Delaware River?,Philadelphia,Philadelphia,1,Pass.
Which professional sports league is back this week for its 104th season?,The National Football League (NFL) is back this week for its 104th season.,NFL,1,Pass.
Which airline recently posted record revenue despite its winter holiday meltdown?,Southwest Airlines recently posted record revenue despite its winter holiday meltdown.,Southwest Airlines,1,Pass.
Beloved actress Cindy Williams died this week at age 75. She was best known for her role on which popular sitcom?,"Cindy Williams was best known for her role as Shirley Feeney on the popular sitcom ""Laverne & Shirley.""",“Laverne & Shirley”,1,Pass.
Which major strike in the US ended this week?,The Hollywood writers' strike ended this week after a tentative agreement was reached between union negotiators and major studios.,Writers strike,1,Pass.
Which Republican presidential candidate recently dropped out of the 2024 race?,Former Vice President Mike Pence recently dropped out of the 2024 Republican presidential race.,Mike Pence,1,Pass.
"Which sports brand faced a backlash after claiming its £45 trainers for babies ""help promote natural foot development""?",Nike,Nike,1,Pass.
Large parts of which state were under emergency warnings due to recent storms and this week’s severe weather?,California,California,1,Pass.
Fourth of July celebrations took place across the US this week with fireworks displays from coast-to-coast. Which city opted for an innovative drone light show instead?,"Salt Lake City, Utah opted for an innovative drone light show instead of traditional fireworks for their Fourth of July celebration.",Salt Lake City,1,Pass.
Activists from Just Stop Oil halted an opera performance at Glyndebourne by doing what?,Activists from Just Stop Oil halted an opera performance at Glyndebourne by interrupting the performance of Francis Poulenc’s “Dialogues des Carmélites” and causing a 20-minute delay before being removed.,Setting off a confetti bomb and blasting air horns ,-1,Fail.
China has reportedly reached a secret deal to build a spy base in which country?,"The reported deal for China to build a spy base is allegedly in Cuba, as per The Wall Street Journal. However, both the US and Cuban governments have expressed skepticism about the validity of this report.",Cuba,1,Pass.
"Following the launch of Meta’s app Threads, which social network saw a major drop in traffic?",Twitter saw a major drop in traffic following the launch of Meta's app Threads.,Twitter,1,Pass.
What is the name of Omid Scobie's controversial new book about the British royal family?,"The name of Omid Scobie's controversial new book about the British royal family is ""Endgame"".",Endgame,1,Pass.
Which US president issued the first Thanksgiving proclamation?,George Washington issued the first Thanksgiving proclamation in 1789.,George Washington,1,Pass.
Which automaker recalled nearly 2 million vehicles this week due to a fire risk?,Toyota recalled nearly 2 million RAV4 vehicles this week due to a fire risk associated with some replacement batteries.,Toyota,1,Pass.
Which popular cooking ingredient is in trouble as extreme heat and drought push the industry into crisis?,Olive oil is the popular cooking ingredient that is in trouble as extreme heat and drought push the industry into crisis.,Olive oil,1,Pass.
"How many people will get a universal basic income (UBI) of £1,600 a month in a proposed trial in England?","In the proposed trial in England, the number of people who will receive a universal basic income (UBI) of £1,600 a month will depend on the total number of volunteers selected at random from Jarrow and East Finchley. Additionally, 20% of the places will be reserved for individuals with disabilities. The exact number of people who will receive the UBI amount of £1,600 a month will be determined based on the selection process and the allocation of spots in the trial programme.",50,-1,Fail.
This week marked 50 years since which major technological milestone?,This week marked 50 years since the first cell phone call was made in New York City.,First cell phone call,1,Pass.
Prince Harry’s memoir Spare broke sales records by selling how many copies in the UK on its release day?,"Prince Harry's memoir ""Spare"" broke sales records by selling more than 400,000 copies in the UK on its release day.","400,000",1,Pass.
Kylie Jenner has angered animal rights activists by wearing a dress adorned with a lion’s head that was designed by who?,Kylie Jenner angered animal rights activists by wearing a dress adorned with a faux lion's head designed by a controversial fashion label.,Schiaparelli,-1,Fail.
Which seed did the FDA recently add to its list of major food allergens?,Sesame seeds were recently added to the FDA's list of major food allergens.,Sesame seeds,1,Pass.
"Which small intruder crawled through a fence at the White House this week, prompting a swift response from the US Secret Service?","A young boy, a toddler, crawled through a fence at the White House this week, prompting a swift response from the US Secret Service.",Toddler,1,Pass.
Research for the BBC found that the average price of pasta has risen by how much in the past two years?,"The average price of pasta has doubled in the past two years, increasing from 50p to 95p for a standard 500g bag.",90%,-1,Fail.
Why did Prince Harry make a surprise appearance in London this week?,"Prince Harry made a surprise appearance in London this week to attend hearings in a lawsuit against Associated Newspapers Limited for alleged privacy breaches, along with other high-profile figures.",To attend a High Court hearing,1,Pass.
Which two US presidents died on July 4 in the same year?,"Thomas Jefferson and John Adams died on July 4, 1826, within hours of each other.",Thomas Jefferson and John Adams,1,Pass.
"Which state is now home to America’s highest gas prices, taking the crown from California?","Washington is now home to America's highest gas prices, surpassing California.",Washington,1,Pass.
British Vogue editor-in-chief Edward Enninful will be replaced by who after stepping down next year?,Chioma Nnadi,Chioma Nnadi,1,Pass.
Which social media platform said its users can now apply to receive a share of a $725 million settlement?,Facebook,Facebook,1,Pass.
The Italian town of Portofino is banning tourists from doing what?,The Italian town of Portofino is banning tourists from loitering in designated no-waiting zones to prevent street blockages caused by tourists taking snaps and selfies.,Lingering in photogenic spots,1,Pass.
Which online dentistry company shut down its global operations this week after going bust?,SmileDirectClub shut down its global operations this week after going bust.,Smile Direct Club,1,Pass.
Which city lit up the world’s largest spherical structure this week?,"Las Vegas lit up the world's largest spherical structure this week, which is the massive bowl-shaped theater with the world's highest-resolution wraparound LED screen.",Las Vegas,1,Pass.
What percentage of people in the US have some immunity to Covid-19?,"Approximately 97% of people in the US have some immunity to Covid-19 through vaccination, infection, or both, according to the CDC. However, health experts still recommend updating your vaccines as coronavirus strains continue to morph.",97%,1,Pass.
Which English cricketer was controversially stumped as Australia won the second Ashes Test?,Jonny Bairstow,Jonny Bairstow,1,Pass.
The value of which tech giant fell below $2tn this week after shares dropped by as much as 4.3%?,The value of Apple fell below $2tn this week after shares dropped by as much as 4.3%.,Apple,1,Pass.
Newly unearthed documents suggest a slave trafficked to Italy was the mother of which famous Renaissance figure?,"The newly unearthed documents suggest that Caterina, a freed slave trafficked to Italy, was the mother of the famous Renaissance figure Leonardo da Vinci.",Leonardo da Vinci,1,Pass.
"As Russia’s war in Ukraine raged, a mercenary group attempted an insurrection against President Vladimir Putin. The Wagner Group’s leader later died in a plane crash. What was his name?",The leader of the Wagner Group who died in a plane crash was Yevgeny Prigozhin.,Yevgeny Prigozhin,1,Pass.
"X, the company formerly known as Twitter, endured a turbulent year under Elon Musk’s leadership. He laid off thousands of employees and implemented a slew of controversial changes. Amid the chaos, rival Meta introduced a new social media app. What is it called?",Meta launched Threads.,Threads,1,Pass.
Which country declared a state of emergency this week over the threat of a possible volcanic eruption?,Iceland declared a state of emergency this week over the threat of a possible volcanic eruption.,Iceland,1,Pass.
How many stars were on the first US flag?,"There were 13 stars on the first US flag, representing the 13 original states.",13,1,Pass.
"The United Nations commemorated World Refugee Day on Tuesday. According to UN estimates, approximately how many refugees are there worldwide?",The United Nations High Commissioner for Refugees estimates that the number of refugees worldwide is approaching 35 million people.,35 million,1,Pass.
Which Jilly Cooper novel is being turned into a Disney+ adaptation starring David Tennant and Danny Dyer?,"The Jilly Cooper novel being turned into a Disney+ adaptation starring David Tennant and Danny Dyer is ""Riders.""",Rivals,-1,Fail.
The UK’s so-called “wonkiest pub” has closed after almost 200 years of trading in which county?,"The UK's so-called ""wonkiest pub"" that has closed after almost 200 years of trading is located in Himley, which is in the county of Staffordshire.",Staffordshire,1,Pass.
US Rep. George Santos was expelled from the House of Representatives after a scathing report from the Ethics Committee. Which state is Santos from?,Santos is from New York.,New York,1,Pass.
Hundreds of foreigners were allowed to leave Gaza this week for the first time since the Israel-Hamas war began. To which country did they flee?,The foreigners who were allowed to leave Gaza this week fled to Egypt.,Egypt,1,Pass.
The public have regained the right to “wild camp” in which English national park?,Dartmoor National Park,Dartmoor,1,Pass.
Which company said this week it will spend $1 billion this year to increase wages and other compensation for its employees?,Home Depot announced this week that it will spend $1 billion this year to increase wages and other compensation for its employees.,Home Depot,1,Pass.
Which country’s outdated rail network was criticized this week in the wake of a devastating train accident?,India's outdated rail network was criticized this week in the wake of a devastating train accident.,India,1,Pass.
Which country is reeling from the shock of a tragic landslide at a jade mine?,Myanmar is reeling from the shock of a tragic landslide at a jade mine in northern Myanmar.,Myanmar,1,Pass.
Which country is attempting to be the second nation to put people on the moon?,China is attempting to be the second nation to put people on the moon.,China,1,Pass.
"Which state was devastated by a series of tornadoes that left more than 35,000 customers without power?","Tennessee was devastated by a series of tornadoes that left more than 35,000 customers without power.",Tennessee,1,Pass.
"Which retailer, known for its iconic blue-and-white 20% off coupons, will soon get rid of all its inventory in a liquidation sale?","Bed, Bath & Beyond will soon get rid of all its inventory in a liquidation sale.","Bed, Bath & Beyond",1,Pass.
"Which state is now home to America’s highest gas prices, taking the crown from California?","Washington is now home to America's highest gas prices, surpassing California.",Washington,1,Pass.
Thousands of people were recently stranded at which festival?,Burning Man,Burning Man,1,Pass.
Which animal recently escaped from a circus near Rome?,A lion recently escaped from a circus near Rome.,Lion,1,Pass.
Red Bull driver Max Verstappen ended this year's F1 season with a record 19th Grand Prix victory where?,Max Verstappen ended this year's F1 season with a record 19th Grand Prix victory in Abu Dhabi.,Abu Dhabi,1,Pass.
Which substance is being reviewed for possible reclassification in the US as a lower-risk drug?,Marijuana is the substance being reviewed for possible reclassification in the US as a lower-risk drug.,Marijuana,1,Pass.
"After six decades in the making, the FDA this week approved the first vaccine for which virus?",The FDA this week approved the first vaccine for respiratory syncytial virus (RSV).,RSV,1,Pass.
"Horror movie ""Five Nights at Freddy's"" broke box-office records by earning how much in its opening weekend?","The horror movie ""Five Nights at Freddy's"" broke box-office records by earning $78 million domestically and $52 million in other countries worldwide in its opening weekend.",$100 million,-1,Fail.
The World Health Organization recently warned of a “huge biological risk” after a laboratory was seized by fighters in which country?,"The World Health Organization recently warned of a ""huge biological risk"" after a laboratory was seized by fighters in Sudan.",Sudan,1,Pass.
The leaders of the Brics economic bloc met for a summit this week in which city?,"The leaders of the Brics economic bloc met for a summit this week in a city that is considered crucial for the future direction of the bloc, as tensions have been rising among the member countries.",Johannesburg,-1,Fail.
"Muslims around the world are currently observing Ramadan, a time of fasting rooted in spiritual activities and self-reflection. How long does the celebration last?","The celebration of Ramadan lasts for an entire month, from March 22 to April 21 this year. During this time, Muslims fast from sunup to sundown as part of their spiritual activities and self-reflection.",30 days,1,Pass.
Which public figure will plead guilty to federal tax charges?,"Hunter Biden, the son of President Joe Biden, will plead guilty to federal tax charges.",Hunter Biden,1,Pass.
Who has reportedly moved into Frogmore Cottage following the eviction of the Duke and Duchess of Sussex?,Princess Eugenie and her family have reportedly moved into Frogmore Cottage following the eviction of the Duke and Duchess of Sussex.,Princess Eugenie,1,Pass.
A Spanish duke and his wife have triggered controversy by naming their recently christened daughter what?,"The Spanish duke and his wife have triggered controversy by naming their recently christened daughter ""Rosario Fitz-James Stuart y de Solís"".",Sofía Fernanda Dolores Cayetana Teresa Ángela de la Cruz Micaela del Santísimo Sacramento del Perpetuo Socorro de la Santísima Trinidad y de Todos Los Santos,-1,Fail.
Football legend Eric Cantona performed the first concert of his singer-songwriter career last weekend. In which French city did it take place?,"The concert took place in Paris, as mentioned in the context with Le Parisien newspaper comparing Cantona's music to Leonard Cohen and Nick Cave.",Auxerre,-1,Fail.
Experts estimate that how many of around two million Britons with long Covid are in need of specialist care?,Experts estimate that hundreds of thousands of the around two million Britons with long Covid are in need of specialist care.,"400,000",-1,Fail.
Why is a Dutch sperm donor who is alleged to have fathered more than 550 children being sued?,"The Dutch sperm donor is being sued because he allegedly fathered more than 550 children, which goes against guidelines limiting sperm donations and may have increased the risk of accidental incest and inbreeding.",For increasing the risk of incest,1,Pass.
"In addition to Halloween, which holiday was celebrated this week?","In addition to Halloween, this week was also celebrated Mexico's Día de los Muertos, or Day of the Dead, which is a yearly tradition to remember and honor deceased loved ones.",Día de los Muertos,1,Pass.
Hurricane Idalia made landfall Wednesday in which state?,Hurricane Idalia made landfall in Florida's Gulf Coast.,Florida,1,Pass.
Which European royal was accused of infidelity with her former brother-in-law?,"Queen Letizia of Spain was accused of infidelity with her former brother-in-law, Jaime del Burgo.",Queen Letizia of Spain,1,Pass.
"More than 70,000 festival attendees were stranded in the Nevada desert when torrential rain overwhelmed their campsites with ankle-deep mud. What was the name of the festival?",The name of the festival was Burning Man.,Burning Man,1,Pass.
Which city will host the 2024 Democratic National Convention?,Chicago,Chicago,1,Pass.
The Metropolitan Police has said it will no longer attend emergency calls linked to what type of incidents?,The Metropolitan Police has said it will no longer attend emergency calls linked to mental health incidents.,Mental health,1,Pass.
How many US states have taken action to restrict TikTok on government devices?,31 US states have taken action to restrict TikTok on government devices.,31,1,Pass.
Which type of lunar phenomenon lit up the night sky this week?,A sturgeon supermoon lit up the night sky this week.,Sturgeon supermoon,1,Pass.
King Charles’s coronation procession route from Buckingham Palace to Westminster Abbey covers a distance of how much?,The distance of King Charles's coronation procession route from Buckingham Palace to Westminster Abbey is less than the nearly 4.5 miles covered in Queen Elizabeth II's procession in 1953.,1.3 miles,-1,Fail.
The newly revealed format for the 2026 World Cup features a total of how many matches?,The newly revealed format for the 2026 World Cup features a total of 80 matches.,104,-1,Fail.
Newly released Metropolitan Police figures show that one in every how many officers in the force are currently suspended or on restricted duties?,One in every 170 officers in the force are currently suspended or on restricted duties.,1 in 34,-1,Fail.
Which state has been bearing the brunt of a dangerous ice storm this week?,Texas,Texas,1,Pass.
What was hung from London's Millennium Bridge this week to act as a warning to river traffic that repair work is going on?,"A bale of straw was hung from London's Millennium Bridge this week to act as a warning to river traffic that repair work is going on, in accordance with the Port of London Thames Byelaws.",A straw bale,1,Pass.
"Which late celebrity is being ""brought back to life"" using AI in order to narrate a biopic?","The late celebrity being ""brought back to life"" using AI to narrate a biopic is Edith Piaf, the iconic French singer known for her song ""La Vie en Rose"".",Édith Piaf,1,Pass.
"Which toy will no longer be sold by Amazon, Target and Walmart due to safety concerns?",Water beads,Water beads,1,Pass.
Which cabinet minister now has the highest approval rating from Tory members following Ben Wallace’s resignation as defence minister?,"The business secretary, Kemi Badenoch, now has the highest approval rating from Tory members following Ben Wallace's resignation as defence minister.",Kemi Badenoch,1,Pass.
Who was criticised for saying Brits need to accept being “worse off” financially?,The Bank of England's chief economist was criticized for suggesting that UK households and companies should not try to maintain their real spending power by increasing prices through higher wages or passing on energy costs to customers.,Andrew Bailey,-1,Fail.
The Mexican government is reviving a 100-year-old railway line in a bid to attract container traffic. Which bodies of water will the track connect?,The Tehuantepec Interoceanic Corridor will connect the Pacific Ocean and the Gulf of Mexico.,The Gulf of Mexico and the Pacific Ocean,1,Pass.
Which political figure faced a barrage of questions this week after batches of classified documents were found in one of his former offices and in one of his homes?,President Joe Biden faced a barrage of questions this week after batches of classified documents were found in one of his former offices and in one of his homes.,President Joe Biden,1,Pass.
Which Constitutional Amendment officially abolished slavery across the United States?,The 13th Amendment officially abolished chattel slavery across the United States.,13th Amendment,1,Pass.
"Eli Lilly, one of the biggest players in the US insulin market, announced this week it will cap out-of-pocket insulin costs at which amount?",Eli Lilly will cap out-of-pocket insulin costs at $35 for many people with diabetes.,$35,1,Pass.
Birmingham Royal Ballet is to stage a new ballet about which heavy metal band?,The new ballet by Birmingham Royal Ballet will feature music by the heavy metal band Black Sabbath.,Black Sabbath,1,Pass.
"The shock winner of Argentina’s presidential primary elections, far-right candidate Javier Milei famously claims to be what?",Javier Milei famously claims to be a far-right economics professor who gained popularity through his unorthodox views and lifestyle choices.,A tantric sex coach,-1,Fail.
Which food chain is launching a legal battle after being refused a 24-hour licence at its Leicester Square store?,Greggs,Greggs,1,Pass.
Which public figure will plead guilty to federal tax charges?,"Hunter Biden, the son of President Joe Biden, will plead guilty to federal tax charges.",Hunter Biden,1,Pass.
New research shows that global household wealth dropped by how much last year?,"Global household wealth dropped by an alarming amount last year, leading to a significant decrease in the number of millionaires worldwide.",$11.3 trillion,-1,Fail.
A botched demonstration of Google’s new Bard chatbot wiped how much off parent company Alphabet’s market value?,The botched demonstration of Google's new Bard chatbot wiped off 9% of parent company Alphabet's market value.,$100bn,-1,Fail.
Who ended Max Verstappen’s 10-race winning streak by claiming victory at the Singapore Grand Prix?,The Spanish racing ace ended Max Verstappen's 10-race winning streak by claiming victory at the Singapore Grand Prix.,Carlos Sainz Jr,-1,Fail.
Approximately how many books are being used to train artificial intelligence systems?,"Almost 200,000 books are being used to train artificial intelligence systems.","200,000",1,Pass.
"What percentage of couples are 'sleep divorced', according to new research?","According to the new research, half of the couples surveyed have slept in a different room at some point, with one in six having permanent ""sleep divorce"" arrangements.",15%,1,Pass.
" Which new Channel 4 series has provoked almost 1,000 complaints to Ofcom?","The new Channel 4 series that has provoked almost 1,000 complaints to Ofcom is ""Naked Attraction.""",Naked Education,-1,Fail.
Novak Djokovic’s victory in the French Open final on Sunday takes his total tally of grand slam wins to how many?,"Novak Djokovic's victory in the French Open final on Sunday takes his total tally of grand slam wins to 21, surpassing Rafael Nadal's record.",23,-1,Fail.
Which celebrity will host the 2024 Academy Awards?,Jimmy Kimmel will be hosting the 2024 Academy Awards.,Jimmy Kimmel,1,Pass.
Pepsi announced a candy-flavored soda is back by popular demand after it previously sold for hundreds of dollars on the resale market. Which flavor is it?,The flavor of the candy-flavored soda that Pepsi announced is a combination of its signature soda taste with the marshmallow flavor of Peeps.,Peeps,1,Pass.
Japan’s government is to offer families how much to relocate from Tokyo to less densely populated areas?,"The Japanese government is set to offer families a subsidy of 900,000 yen (£5,700) per child to relocate from Tokyo to less densely populated areas starting from April.",1m yen per child,-1,Fail.
Which Indian Hindu festival concluded this week?,"The Indian Hindu festival that concluded this week is Durga Puja, which celebrates the victory of the goddess Durga over the demon king Mahishasura. The festivities in Kolkata, which ended on Tuesday, are known for their grandeur and historical significance.",Durga Puja,1,Pass.
Which podcast became the first ever to be awarded the British Academy President's Medal for services to the humanities?,"The podcast hosted by Tom Holland and Dominic Sandbrook, produced by Gary Lineker's company Goalhanger Podcasts, was awarded the British Academy President's Medal for services to the humanities.","""The Rest is History""",-1,Fail.
Which popular Christmas song topped the Billboard Hot 100 chart for the first time this week?,"""Rockin' Around the Christmas Tree"" by Brenda Lee",“Rockin' Around the Christmas Tree”,1,Pass.
Which state deployed more than 200 law enforcement personnel this week to capture an escaped prisoner?,"Pennsylvania deployed more than 200 law enforcement personnel this week to capture the escaped prisoner, Danelo Cavalcante.",Pennsylvania,1,Pass.
What percentage of British adults reportedly has an unfavourable view of campaign group Just Stop Oil?,68% of British adults reportedly have an unfavourable view of campaign group Just Stop Oil.,66%,-1,Fail.
"Which “sleepy” town is the UK’s capital for Satanists, according to latest census data?","According to the latest census data, Bungay and nearby villages in the UK have been identified as the capital for Satanists, with 70 out of around 8,500 people living in the area identifying as devil-worshippers.","Bungay, Suffolk",1,Pass.
Sweden is building the world’s largest what?,Sweden is building the world's largest urban construction project in wood.,Wooden city,1,Pass.
The longest-ever strike by Hollywood actors ended after how many days?,The longest-ever strike by Hollywood actors ended after four months.,119 days,-1,Fail.
