question,answer
Federal prosecutors this week charged Rep. George Santos with which of the following:,Federal prosecutors this week charged Rep. George Santos with wire fraud and making false statements to a financial institution.
"What is the name of the 1,500-square-mile iceberg that is on the move after breaking away from Antarctica?","The name of the 1,500-square-mile iceberg that is on the move after breaking away from Antarctica is A-68a."
"People magazine published snippets of Britney Spears' memoir on Tuesday, ahead of its release next week. What is the book called?","The book is called ""Heart of Glass."""
King Charles’s coronation procession route from Buckingham Palace to Westminster Abbey covers a distance of how much?,The coronation procession route of King Charles from Buckingham Palace to Westminster Abbey covers a distance of approximately 2.8 miles.
"While many US industries have recovered from the Covid-19 pandemic, which major sector still has a huge shortage of workers?",The major sector that still has a huge shortage of workers in the US despite the recovery from the Covid-19 pandemic is the healthcare industry.
Who interviewed Ghislaine Maxwell on TalkTV this week?,Piers Morgan interviewed Ghislaine Maxwell on TalkTV this week.
"What is the name of SpaceX's rocket, which exploded shortly after lifting off on its first test flight this week?",The name of SpaceX's rocket that exploded shortly after lifting off on its first test flight is Falcon 1.
"Taylor Swift and Beyoncé dominated the entertainment headlines, thanks to their blockbuster worldwide tours and concert films released in theaters. Beyoncé also set a record for the most Grammy Awards. How many has she won?",Beyoncé has won a total of 28 Grammy Awards.
Dolly Parton broke the Guinness World Record for the most studio albums by a female country singer with how many releases?, Dolly Parton broke the Guinness World Record for the most studio albums by a female country singer with 47 releases.
A swimwear trend known as what is taking hold on China’s beaches?,"The answer is ""facekinis."""
Which university’s football team declined an invitation this week to the White House?,The University of Alabama's football team declined an invitation to the White House this week.
Former WNBA MVP Breanna Stewart became one of the latest stars to switch teams. Who will she play for next season?,Breanna Stewart will play for the Seattle Storm next season.
"South Carolina star Aliyah Boston was the first pick in this week’s WNBA Draft. In total, how many South Carolina players were drafted Monday?",Three South Carolina players were drafted on Monday.
"Why is Fort Delaware known to be such an eerie place according to Daryl Marston from ""Ghost Hunters""?","Fort Delaware is known to be such an eerie place because it served as a prison camp during the Civil War, where thousands of Confederate soldiers were held in deplorable conditions. Many prisoners died due to disease, malnutrition, and harsh treatment, leading to reports of paranormal activity and ghostly sightings at the fort."
"HBO's ""Succession,"" which aired its series finale this week, centers on the (fictional) Roy family, the owners of what company?",Waystar Royco
"In what may be the largest cattle killing ever, how many cows died in an explosion and fire at a dairy farm in Texas?","In the largest cattle killing ever, approximately 500 cows died in an explosion and fire at a dairy farm in Texas."
Who ended Max Verstappen’s 10-race winning streak by claiming victory at the Singapore Grand Prix?,Lewis Hamilton
President Joe Biden welcomed which world leader to the White House for a state dinner this week?,"President Joe Biden welcomed the Prime Minister of Japan, Yoshihide Suga, to the White House for a state dinner this week."
The vice president of which Middle Eastern country is funding a bid to take control of the UK's Telegraph newspaper group?,Saudi Arabia.
Which signature drink did Starbucks reintroduce to its menu this week?,The signature drink that Starbucks reintroduced to its menu this week is the Pumpkin Spice Latte.
TV producers feared which broadcaster would catch avian flu while filming his latest series?,David Attenborough
"Following years of speculation, which popular 1980s film finally has a sequel in the works?","The popular 1980s film that finally has a sequel in the works is ""Top Gun."""
Which Salesianum School senior won the 215-pound title in the 30th edition of the Beast of the East wrestling tournament held on Sunday at the Carpenter Center?,Tommy Pomara
Who was criticised for saying Brits need to accept being “worse off” financially?,"Former Prime Minister Theresa May was criticized for saying Brits need to accept being ""worse off"" financially during the Brexit negotiations."
"As Russia’s war in Ukraine raged, a mercenary group attempted an insurrection against President Vladimir Putin. The Wagner Group’s leader later died in a plane crash. What was his name?",Dmitry Utkin
"Which Satellite TV provider was hit with a $150,000 fine for failing to properly dispose of one of its satellites in space?",DirecTV
Police Scotland is facing a flood of complaints from officers over a new policy requiring them to do what?,Wear body cameras while on duty.
What was one of the key issues mentioned in the lawsuit against Regal Builders LLC?,"One of the key issues mentioned in the lawsuit against Regal Builders LLC was the alleged use of substandard materials in the construction of residential properties, leading to structural defects and safety concerns for homeowners."
Which tech company is moving forward with its plan to delete accounts that have been inactive for at least two years?,Twitter
"What is the purpose of the $750 million in federal funding awarded to Delaware, Pennsylvania, and New Jersey for the Mid-Atlantic Hydrogen Hub?","The purpose of the $750 million in federal funding awarded to Delaware, Pennsylvania, and New Jersey for the Mid-Atlantic Hydrogen Hub is to support the development of a regional hydrogen hub that will produce, store, and distribute clean hydrogen energy. This initiative aims to reduce greenhouse gas emissions, create jobs, and promote economic growth in the region."
"Which state is now home to America’s highest gas prices, taking the crown from California?",Hawaii
Who was sitting on the throne in England when the American colonies declared independence?,King George III was sitting on the throne in England when the American colonies declared independence.
What is the main concern expressed by residents of West Center City in Wilmington regarding the Neighborhood Stabilization Program led by Mayor Mike Purzycki?,Residents of West Center City in Wilmington have expressed concerns about the lack of transparency and community input in the Neighborhood Stabilization Program led by Mayor Mike Purzycki. They feel that decisions are being made without considering the needs and opinions of the residents who will be directly affected by the program.
The arrival carpet at this Sunday’s Oscars will not be its usual red. What color will it be?,The arrival carpet at this Sunday's Oscars will be gold.
World leaders gathered at the annual United Nations General Assembly summit this week. Where is the UN headquartered?,"The United Nations is headquartered in New York City, United States."
What is the reason behind McDonald's decision to remove self-serve soda machines from U.S. locations by 2032?,"The reason behind McDonald's decision to remove self-serve soda machines from U.S. locations by 2032 is to reduce the spread of germs and improve overall cleanliness and hygiene in their restaurants. By eliminating self-serve soda machines, McDonald's aims to create a safer and more sanitary dining experience for their customers."
Many Ohio residents are concerned about their health after a train carrying hazardous materials derailed there two weeks ago. Which chemical are they most worried might still be lingering in the area?,The chemical that Ohio residents are most worried about lingering in the area after the train derailment is likely to be chlorine gas.
"More than 100,000 homes and businesses lost power this week across the Southern US due to which kind of severe weather event?","The severe weather event that caused more than 100,000 homes and businesses to lose power across the Southern US this week was a series of powerful thunderstorms with high winds and lightning."
"Vivek Ramaswamy, biotech entrepreneur and author from Ohio, entered the Republican presidential primary race. He wrote a book titled:","""WOKE, INC.: Inside Corporate America's Social Justice Scam"""
Which NBA team was the first to get to 50 wins for the 2022-23 season and clinch a playoff spot?,The first NBA team to reach 50 wins for the 2022-23 season and clinch a playoff spot was the Brooklyn Nets.
What prompted a Secret Service agent to open fire on Sunday in Washington's Georgetown neighborhood?,"A man driving a car refused to stop at a security checkpoint near the White House, prompting a Secret Service agent to open fire in Washington's Georgetown neighborhood."
The newly revealed format for the 2026 World Cup features a total of how many matches?,The newly revealed format for the 2026 World Cup features a total of 80 matches.
The deadliest US wildfire in more than 100 years devastated Hawaii in August. Which island popular with tourists suffered catastrophic damage?,The deadliest US wildfire in more than 100 years devastated Maui in Hawaii in August.
"According to Similarweb Digital Data, which clothing company is currently the most visited clothing website in the world, surpassing brands like Nike, H&M, and Zara?",ASOS
Tom Brady said he is ‘retiring for good’ this week. How many seasons did he play in the NFL?,Tom Brady played 22 seasons in the NFL.
Sweden is building the world’s largest what?,Sweden is building the world's largest wind farm.
What percentage of British adults reportedly has an unfavourable view of campaign group Just Stop Oil?,"According to a survey conducted by YouGov in 2021, 42% of British adults reportedly have an unfavorable view of the campaign group Just Stop Oil."
What type of barbecue flavors does Mission BBQ offer at its locations?,"Mission BBQ offers a variety of barbecue flavors at its locations, including traditional options such as Texas-inspired brisket, North Carolina pulled pork, and St. Louis-style ribs. They also offer unique flavors like Memphis dry rub and Georgia mustard sauce."
Which college sport set a world record for attendance this week?,"The college sport that set a world record for attendance this week was the college football game between the University of Tennessee and Virginia Tech at Bristol Motor Speedway, with a record-breaking attendance of over 156,000 spectators."
"Who was named the CAA’s co-defensive player of the week after his standout performance as a cornerback in Delaware's victory against New Hampshire, despite being flagged three times for pass interference during the game?",Nijuel Hill
A multi-state salmonella outbreak was recently linked to which cooking ingredient?,Onion
Which social media company received a deadline from the European Union this week to address false and misleading claims on its platform?,Facebook
Which virus is England set to eradicate almost five years ahead of a target set by the World Health Organization (WHO)?,Measles virus
Netflix adaptation All Quiet on the Western Front is being tipped for Oscars glory after winning how many Baftas?,Netflix adaptation All Quiet on the Western Front won 3 Baftas.
Who won this year's Nobel Peace Prize?,"The winner of this year's Nobel Peace Prize is Maria Ressa and Dmitry Muratov for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace."
Which company is investigating a hack involving millions of user accounts?,Facebook
Why was the latest Panera Charged Lemonade lawsuit filed in Delaware?,"The latest Panera Charged Lemonade lawsuit was filed in Delaware because Panera Bread Company is incorporated in Delaware, making it the appropriate jurisdiction for legal matters involving the company."
What was the reason behind the permanent suspension of Indian Motorcycle dealerships and Intellicar by the Delaware Division of Motor Vehicles?,The reason behind the permanent suspension of Indian Motorcycle dealerships and Intellicar by the Delaware Division of Motor Vehicles was due to fraudulent activities and violations of state laws and regulations.
Summer is peak season for amusement parks. Where was America’s first roller coaster built?,"America's first roller coaster was built at Coney Island in Brooklyn, New York."
Ancient graves believed to have belonged to Knights Templar from the 12th century have been rediscovered in which English county?,Lincolnshire
A US man with the world's longest tongue has set another Guinness record by using it to do what?,The US man with the world's longest tongue has set another Guinness record by using it to lick his own forehead.
Where did the UK’s first womb transplant take place?,The UK's first womb transplant took place at the Royal Derby Hospital in England.
"A bomb cyclone is slamming California this week, causing widespread flooding. Which part of the state is experiencing the storm’s heaviest rain?","The bomb cyclone is slamming Northern California this week, causing widespread flooding. The heaviest rain is being experienced in the northern part of the state."
Which actor paid tribute to Karl Lagerfeld by wearing a giant fluffy cat costume to the 2023 Met Gala?,The actor who paid tribute to Karl Lagerfeld by wearing a giant fluffy cat costume to the 2023 Met Gala was Jared Leto.
The total number of women on this year’s Booker Prize shortlist is fewer than the tally of male nominees who share which first name?,"The total number of women on this year's Booker Prize shortlist is fewer than the tally of male nominees who share the first name ""David."""
Which company announced it will begin making thousands of cuts to its workforce this week as part of a multibillion-dollar cost-cutting initiative?,The company that announced it will begin making thousands of cuts to its workforce this week as part of a multibillion-dollar cost-cutting initiative is IBM (International Business Machines Corporation).
An activist is to be prosecuted for contempt of court for holding up a sign outside the trial of protesters from which climate group?,Extinction Rebellion
Scientists say climate change-fueled water shortages may disrupt the distribution and cultivation of agave – a key ingredient of which beverage?,Tequila
Which one of these Star Wars movies celebrated its 40th anniversary this week?,Star Wars: Episode V - The Empire Strikes Back
Which government institution announced a code of conduct this week in an attempt to address ethics concerns?,The United States Department of Justice announced a code of conduct this week in an attempt to address ethics concerns.
"Which US congressman this week announced his decision to retire from Congress at the end of this year ""to serve America in new ways""?",Paul Mitchell
"After premiering in July, “Barbie” became the highest-grossing movie at the US box office this year. Who directed this pink-hued blockbuster about the iconic doll?","Greta Gerwig directed the movie ""Barbie."""
Which US president issued the first Thanksgiving proclamation?,The first Thanksgiving proclamation was issued by President George Washington in 1789.
What type of eco-friendly funeral option is becoming available in the UK this year?,"A type of eco-friendly funeral option that is becoming available in the UK this year is the option of having a ""green"" or environmentally friendly funeral, which may include options such as natural burials, biodegradable coffins, and carbon-neutral funeral services."
"A 5,000-mile-wide blob of seaweed is heading for the shores of which state?",Florida
Which famous figure was recently honored on a new US postage stamp?,Maya Angelou
Which organization secured $1 million from the Delaware General Assembly to purchase the historic Gibraltar mansion?,The Delaware Historical Society secured $1 million from the Delaware General Assembly to purchase the historic Gibraltar mansion.
Which former pope was laid to rest this week?,Pope John Paul II
"Who is Wally, and why did he attend the Philadelphia Flyers' game against the Carolina Hurricanes?","Wally is the team mascot for the Philadelphia Flyers. He attended the game against the Carolina Hurricanes to entertain the fans, show support for the team, and create a fun and engaging atmosphere at the game."
Which country’s outdated rail network was criticized this week in the wake of a devastating train accident?,India
A new vaccine became available this week for which virus?,COVID-19
Which candy brand is facing criticism over one of its new packaging designs?,Snickers
"Carnival season closed this week in fantastic fashion with colorful parades, masks and of course loads of beads. Mardi Gras is French for what?",Fat Tuesday
How many terms did George Washington serve as president of the US?,George Washington served as president of the United States for two terms.
Which royal made a surprise visit to this week’s Chelsea Flower Show?,Prince Charles made a surprise visit to this week's Chelsea Flower Show.
Aaron Rodgers was traded from the Green Bay Packers to the New York Jets this week. How many Super Bowls did Rodgers win in Green Bay?,Aaron Rodgers has won one Super Bowl with the Green Bay Packers.
Kylie Jenner has angered animal rights activists by wearing a dress adorned with a lion’s head that was designed by who?,Dolce & Gabbana
True or false: President Joe Biden would become the oldest elected president in U.S. history if he is re-elected in 2024.,"True. President Joe Biden was already the oldest elected president in U.S. history when he was elected in 2020 at the age of 78. If he were to be re-elected in 2024, he would continue to hold that title as the oldest elected president."
Where is the global COP28 climate summit being held?,"The global COP28 climate summit is being held in Jakarta, Indonesia."
"Argentina's newly inaugurated President Javier Milei devalued the peso by how much as part of his economic ""shock therapy""?","Argentina's newly inaugurated President Javier Milei devalued the peso by 40% as part of his economic ""shock therapy""."
Which national newspaper claimed on its front page that ‘now even God could be going gender neutral’?,The national newspaper that claimed on its front page that 'now even God could be going gender neutral' is The Times.
"What is the estimated value of the painting that the woman found in a New Hampshire thrift store, believed to be the work of American master N.C. Wyeth?","The estimated value of the painting found in a New Hampshire thrift store, believed to be the work of American master N.C. Wyeth, is around $30,000 to $50,000."
Novak Djokovic’s Australian Open victory this week brings his total tally of grand slam wins to how much?,Novak Djokovic's Australian Open victory this week brings his total tally of grand slam wins to 20.
How many times had a US House of Representatives speaker been removed from the role prior to the ousting of Kevin McCarthy?,"Three times. The previous US House of Representatives speakers who were removed from the role before Kevin McCarthy are James Beauchamp ""Champ"" Clark in 1919, John Nance Garner in 1931, and Newt Gingrich in 1998."
Voters in Chicago went to the polls this week to elect a new mayor. Two candidates advanced to a runoff. Who didn’t?,The candidate who did not advance to the runoff election in Chicago was Toni Preckwinkle.
Which popular energy drink is reportedly being traded on black markets at schools across the UK?,Red Bull
A new black comedy by controversial 90-year-old director Roman Polanski that premiered at the Venice Film Festival is called what?,"The new black comedy by controversial 90-year-old director Roman Polanski that premiered at the Venice Film Festival is called ""An Officer and a Spy."""
Scientists have discovered that the females of which species fake their own deaths to avoid unwanted male advances?,The females of the species known as the orb-weaving spider have been observed to fake their own deaths to avoid unwanted male advances.
"Muslims around the world are currently observing Ramadan, a time of fasting rooted in spiritual activities and self-reflection. How long does the celebration last?","Ramadan typically lasts for 29 or 30 days, depending on the sighting of the moon."
One of America’s most well-known Christmas trees toppled over in gusty winds this week. Where did this occur?,Rockefeller Center in New York City
Which major Delaware craft brewery recently announced its closure after nearly 8½ years of operation in Smyrna?,Fordham & Dominion Brewing Company
Which high-profile actor unexpectedly showed up at an art show dedicated to him?,Brad Pitt
Manhattan District Attorney Alvin Bragg filed a lawsuit against which politician over an inquiry into the prosecution of Donald Trump?,Manhattan District Attorney Alvin Bragg filed a lawsuit against New York Governor Kathy Hochul over an inquiry into the prosecution of Donald Trump.
Judges in England and Wales were given the green light to use which online tool to help write legal rulings?,"Judges in England and Wales were given the green light to use an online tool called ""Casetext"" to help write legal rulings."
"In her final speech as New Zealand’s prime minister, who did Jacinda Ardern assure that “they too could one day lead”?",Women and girls
Which airline this week said it will begin weighing some passengers before they board the airplane?,Uzbekistan Airways
The Americans for Prosperity Action group is backing which Republican presidential candidate?,The Americans for Prosperity Action group is backing Republican presidential candidate Donald Trump.
The daughter of late NHS fundraiser Captain Sir Tom Moore was ordered to demolish what unauthorised structure in her garden?,"A £30,000 one-bedroom bungalow."
"The shock winner of Argentina’s presidential primary elections, far-right candidate Javier Milei famously claims to be what?",A libertarian.
Why was the woman in the story first put in prison?,The woman in the story was first put in prison for stealing food to feed her starving family.
The leaders of the Brics economic bloc met for a summit this week in which city?,"The leaders of the Brics economic bloc met for a summit this week in Brasília, Brazil."
"According to a new study published this week, how many minutes of daily exercise could have a positive impact on your health?","According to a new study published this week, at least 30 minutes of daily exercise could have a positive impact on your health."
New polling data suggests that what percentage of 18- to 24-year-olds in the UK want to replace the monarchy with an elected head of state?,The polling data suggests that 41% of 18- to 24-year-olds in the UK want to replace the monarchy with an elected head of state.
"Which quarterback agreed this week to a five-year, $255 million deal, making them the highest paid player in NFL history?",Patrick Mahomes
Punxsutawney Phil saw his shadow on Groundhog Day this year. True or False?,True
Which Constitutional Amendment officially abolished slavery across the United States?,The 13th Amendment officially abolished slavery across the United States.
